194000, 0.00390, 0.005
195000, 0.00392, 0.005
196000, 0.00380, 0.005
197000, 0.00359, 0.005
198000, 0.00387, 0.005
199000, 0.00392, 0.005
200000, 0.00416, 0.005
201000, 0.00404, 0.005
202000, 0.00417, 0.005
203000, 0.00401, 0.005
204000, 0.00437, 0.02
205000, 0.00461, 0.02
206000, 0.00477, 0.02
207000, 0.00456, 0.02
208000, 0.00472, 0.02
209000, 0.00454, 0.02
210000, 0.00563, 0.02
211000, 0.00560, 0.02
212000, 0.00557, 0.02
213000, 0.00541, 0.02
214000, 0.00566, 0.02
215000, 0.00541, 0.02
216000, 0.00534, 0.02
217000, 0.00523, 0.02
218000, 0.00543, 0.02
219000, 0.00547, 0.02
220000, 0.00533, 0.02
221000, 0.00519, 0.02
222000, 0.00526, 0.02
223000, 0.00511, 0.02
